Id,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Garage Age,House Age
109,533352170,60,RL,13517,Pave,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,3,2,CBlock,2,2,1,4,533.0,-1,0.0,192.0,725.0,GasA,4,Y,4,725,754,0,1479,0.0,0.0,2,1,3,1,3,6,4,0,Attchd,3,2.0,475.0,2,2,2,0,44,0,0,0,0,0,3,2010,WD ,130500.0,34.0,34
544,531379050,60,RL,11492,Pave,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,3,2,PConc,3,2,1,4,637.0,-1,0.0,276.0,913.0,GasA,4,Y,4,913,1209,0,2122,1.0,0.0,2,1,4,1,3,8,4,1,Attchd,3,2.0,559.0,2,2,2,0,74,0,0,0,0,0,4,2009,WD ,220000.0,13.0,14
153,535304180,20,RL,7922,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,2,2,1,4,731.0,-1,0.0,326.0,1057.0,GasA,2,Y,4,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,4,0,Detchd,2,1.0,246.0,2,2,2,0,52,0,0,0,0,0,1,2010,WD ,109000.0,57.0,57
318,916386060,60,RL,9802,Pave,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,2,1,-1,0.0,-1,0.0,384.0,384.0,GasA,3,Y,4,744,700,0,1444,0.0,0.0,2,1,3,1,2,7,4,0,BuiltIn,4,2.0,400.0,2,2,2,100,0,0,0,0,0,0,4,2010,WD ,174000.0,3.0,4
255,906425045,50,RL,14235,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,2,2,PConc,1,3,1,-1,0.0,-1,0.0,676.0,676.0,GasA,2,Y,4,831,614,0,1445,0.0,0.0,2,0,3,1,2,6,4,0,Detchd,2,2.0,484.0,2,2,0,0,59,0,0,0,0,0,3,2010,WD ,138500.0,53.0,110
138,535126040,20,RL,16492,Pave,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,3,2,CBlock,2,2,1,3,247.0,1,713.0,557.0,1517.0,GasA,4,Y,4,1888,0,0,1888,0.0,0.0,2,1,2,1,3,6,1,1,Attchd,4,2.0,578.0,2,2,2,0,0,0,0,0,0,0,6,2010,WD ,190000.0,44.0,44
2827,908186070,180,RM,3675,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,3,2,4,4,547.0,-1,0.0,0.0,547.0,GasA,3,Y,4,1072,0,0,1072,1.0,0.0,2,0,2,1,2,5,4,0,Basment,4,2.0,525.0,2,2,2,0,44,0,0,0,0,0,6,2006,New,140000.0,5.0,5
145,535154050,20,RL,12160,Pave,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,2,2,CBlock,2,2,1,1,1000.0,-1,0.0,188.0,1188.0,GasA,1,Y,4,1188,0,0,1188,1.0,0.0,1,0,3,1,2,6,4,0,Attchd,3,2.0,531.0,2,2,2,0,0,0,0,0,0,0,5,2010,COD,142000.0,51.0,51
1942,535353130,20,RL,15783,Pave,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,2,2,1,1,292.0,-1,0.0,632.0,924.0,GasA,2,Y,4,924,0,0,924,0.0,0.0,1,0,2,1,2,6,4,0,Detchd,2,1.0,420.0,2,2,2,0,324,0,0,0,0,400,6,2007,WD ,112500.0,58.0,58
1956,535426130,60,RL,11606,Pave,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,2,2,PConc,3,2,3,1,650.0,-1,0.0,390.0,1040.0,GasA,2,Y,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,1,9,4,2,Attchd,2,2.0,504.0,2,2,2,335,0,0,0,0,0,0,9,2007,WD ,135000.0,41.0,41
1044,527451290,160,RM,1680,Pave,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,2,2,CBlock,2,2,1,3,387.0,-1,0.0,96.0,483.0,GasA,2,Y,4,483,504,0,987,0.0,0.0,1,1,2,1,2,4,4,0,Detchd,2,1.0,264.0,2,2,2,0,0,0,0,0,0,0,7,2008,COD,85400.0,39.0,39
2752,906380150,20,RL,7488,Pave,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,3,2,3,4,393.0,-1,0.0,815.0,1208.0,GasA,4,Y,4,1208,0,0,1208,0.0,0.0,2,0,2,1,3,6,4,0,Attchd,3,2.0,632.0,2,2,2,105,58,0,0,0,0,0,2,2006,WD ,183600.0,5.0,5
807,906226060,70,RL,26400,Pave,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,PConc,-1,-1,0,-2,0.0,-2,0.0,0.0,0.0,GasA,4,Y,4,1288,728,0,2016,0.0,0.0,1,0,4,1,2,7,1,1,Attchd,2,2.0,576.0,2,2,1,0,0,0,0,0,0,0,6,2009,WD ,131000.0,110.0,130
1177,533236070,160,FV,2645,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,3,2,1,4,813.0,-1,0.0,147.0,960.0,GasA,4,Y,4,962,645,0,1607,1.0,0.0,2,1,3,1,3,7,4,0,Detchd,2,2.0,480.0,2,2,2,169,0,0,0,0,0,0,12,2008,ConLD,200000.0,10.0,11
1480,907418040,20,RL,9627,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,3,2,3,4,24.0,-1,0.0,1327.0,1351.0,GasA,4,Y,4,1361,0,0,1361,0.0,0.0,2,0,3,1,3,6,4,0,Attchd,3,2.0,610.0,2,2,2,0,50,0,0,0,0,0,6,2008,WD ,193000.0,3.0,3
324,923202105,20,RL,10114,Pave,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,2,3,-1,0.0,-1,0.0,1430.0,1430.0,GasA,4,Y,4,1430,0,0,1430,0.0,0.0,2,0,3,1,3,7,4,0,Attchd,3,2.0,624.0,2,2,2,0,0,0,0,0,0,0,3,2010,WD ,173500.0,6.0,6
1311,902301140,70,RM,4571,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,2,BrkTil,2,2,1,-1,0.0,-1,0.0,624.0,624.0,GasA,1,N,4,624,720,0,1344,0.0,0.0,1,0,4,1,2,7,4,0,Detchd,2,3.0,513.0,1,1,2,0,0,96,0,0,0,0,5,2008,COD,98000.0,94.0,94
770,905101490,20,RL,8816,Pave,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,2,2,1,1,651.0,-1,0.0,470.0,1121.0,GasA,2,Y,4,1121,0,0,1121,1.0,0.0,1,0,3,1,2,5,4,0,Detchd,2,2.0,480.0,2,2,2,0,80,0,0,0,0,0,6,2009,WD ,139000.0,47.0,47
2063,905107140,20,RL,8197,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,2,2,CBlock,2,2,1,-1,0.0,-1,0.0,660.0,660.0,GasA,4,Y,4,1285,0,0,1285,0.0,0.0,1,1,3,1,2,7,4,1,Attchd,3,2.0,528.0,2,2,2,138,0,0,0,0,0,0,4,2007,WD ,143500.0,33.0,33
69,528458070,60,FV,8640,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,2,2,4,24.0,-1,0.0,732.0,756.0,GasA,4,Y,4,764,783,0,1547,0.0,0.0,2,1,3,1,3,7,4,0,Attchd,2,2.0,614.0,2,2,2,169,45,0,0,0,0,0,6,2010,Con,215200.0,1.0,1
2062,905106150,20,RL,8724,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,2,1,2,492.0,-1,0.0,402.0,894.0,GasA,3,Y,4,894,0,0,894,0.0,0.0,1,0,3,1,2,5,4,1,Attchd,4,2.0,450.0,2,2,2,0,0,0,0,0,0,0,5,2007,WD ,129000.0,42.0,42
351,527131030,120,RL,5664,Pave,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,3,2,1,4,1158.0,-1,0.0,343.0,1501.0,GasA,4,Y,4,1659,0,0,1659,1.0,0.0,2,0,2,1,4,5,4,1,Attchd,4,2.0,499.0,2,2,2,212,59,0,0,0,0,0,10,2009,WD ,278000.0,10.0,10
2393,528142010,60,RL,12867,Pave,2,Lvl,3,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,4,2,3,-1,0.0,-1,0.0,1209.0,1209.0,GasA,4,Y,4,1209,1044,0,2253,0.0,0.0,2,1,3,1,4,8,4,1,Attchd,4,2.0,575.0,2,2,2,243,142,0,0,0,0,0,7,2006,New,344133.0,5.0,5
12,527165230,20,RL,7980,Pave,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,PConc,3,2,1,3,935.0,-1,0.0,233.0,1168.0,GasA,4,Y,4,1187,0,0,1187,1.0,0.0,2,0,3,1,2,6,4,0,Attchd,4,2.0,420.0,2,2,2,483,21,0,0,0,0,500,3,2010,WD ,185000.0,18.0,18
